source_id,teff_gspphot,logg_gspphot,mg_gspphot,mh_gspphot,radius_gspphot,distance_gspphot,lum_flame,mass_flame,age_flame,evolstage_flame,ag_gspphot
3098404216385467392,4171.82,4.6691,7.5446,-0.0312,0.6147,98.942,0.10051739,0.65653455,0.2164079,100,0.4045
3353218995355814656,3788.846,4.68,8.3035,0.2196,0.5918,145.8522,0.06753232,,,262,0.4696
3406132644545570432,4473.3374,4.6757,6.9484,0.4971,0.6606,97.6433,0.16316961,0.71734166,4.158299,145,0.3453
3439633221952197120,5773.0425,3.7489,2.8834,-0.4901,2.2898,358.9232,6.1287646,1.3475822,3.6880052,442,0.0222
3545873945303316224,6173.6855,4.2267,3.8622,-0.3042,1.2621,381.0868,2.09518,1.1519282,3.4186556,269,0.0388
3578137842709899648,5661.532,4.1404,4.1124,-0.1127,1.3378,56.4635,1.6038128,0.95742464,12.034738,394,0.0015
3582098107498270208,5440.208,4.1626,3.849,-0.0109,1.6489,514.4648,2.1745636,0.99243146,11.55312,469,0.0311
3584368019189709952,5266.393,4.4161,5.0107,0.2803,1.0391,844.3198,0.75840217,,,358,0.053
3606596502170799104,5677.415,4.0171,3.6627,-0.0039,1.6345,761.9283,2.3871982,1.0302036,9.792797,449,0.087
3610048418926172032,5054.4717,4.5289,5.6999,0.2318,0.8393,272.6145,0.4382828,,,427,0.1132
3675248118423392256,3771.7578,4.7024,8.477,-0.0251,0.5407,146.2061,0.053410735,0.54890937,13.154103,155,0.4386
3694878833385971840,4673.158,4.5726,6.4476,-0.0467,0.7317,124.6835,0.23044257,0.7320092,13.299436,279,0.0366
3695235654973028736,,,,,,,,,,,
3698079992771142784,5380.502,4.4721,5.1216,0.2017,0.9387,629.2899,0.80365753,,,356,0.0191
3796826582305099520,5212.654,4.4491,5.1836,0.3832,0.9823,54.8126,0.6456632,0.8532151,12.916251,356,0.0002
3797456808626205696,5836.271,3.8445,3.1205,-0.4389,2.0025,392.8716,3.8549895,1.1773696,5.833559,442,0.0037
3811032513054107648,5444.014,4.4335,5.0692,-0.4019,0.9465,337.19,0.7068154,0.8644401,12.758124,330,0.0209
3868491612036282752,5791.444,4.2027,4.0127,0.1374,1.3267,129.9354,1.7993246,1.0055902,9.601878,395,0.0271
3884361314332210304,5027.0757,4.7184,6.6742,-1.2958,0.5489,120.5613,0.08080451,,,,1.7397
3886688327612984704,5868.628,4.2674,4.3632,-0.3743,1.1127,31.7724,1.3206862,1.0168335,6.318901,318,0.0
3946945413106333696,5059.802,2.4404,-0.8156,-0.1642,16.8665,100.6914,160.35362,3.3969736,0.27070367,544,0.253
3979511431397114752,4454.0938,4.4502,7.1294,-2.4958,0.5964,318.7781,0.06894076,0.5757365,13.254202,266,1.2693
4084602654011029376,5208.046,4.5034,5.4371,0.1548,0.8775,152.0399,0.512444,0.8249468,13.417923,330,0.1124
4130538428745313920,3265.5874,4.9939,10.9648,-0.2439,0.2687,162.0141,0.007041277,,,,0.8546
4224259562941398400,4810.8853,4.5142,6.0489,-0.1845,0.8119,19.6068,0.3194363,,,371,0.0
30398648945512960,5755.423,4.2838,4.4567,-0.2183,1.1045,63.8786,1.1521188,0.973023,8.046681,330,0.0626
38127013099258880,5740.1567,4.1609,4.1303,-0.2055,1.2909,257.9698,1.6294667,0.9804644,10.566464,398,0.6031
2132652065075227648,4745.3794,4.5805,6.3207,0.1049,0.7427,463.5203,0.25165752,0.749496,11.731672,257,0.0804
2133056376115838080,5580.6104,4.236,4.1428,-0.3818,1.3677,1580.7025,2.1897144,1.0001919,11.215062,458,0.1367
2133124511477266176,5556.0845,4.1805,4.257,0.0993,1.2993,1035.4806,1.5523247,0.93019444,,421,0.1369
2133196151531241216,5012.4727,3.5866,2.9487,0.081,3.0415,947.1,4.364584,1.2137651,5.6098604,562,0.1498
2133589776693414016,,,,,,,,,,,
2134798444914611712,5847.9644,4.0375,3.4546,0.1472,1.6814,674.1649,2.9063768,1.0952018,7.5759134,436,0.064
2134804977563800064,6114.725,4.2131,3.6646,-0.2071,1.4056,1407.8433,2.7081351,1.1910481,4.3880196,325,0.1217
2135275362382289280,5594.942,4.4784,5.1686,-0.3054,0.8471,762.4556,0.6687879,0.98064184,0.5496941,116,0.0624
2135550755683407232,5639.604,4.2607,4.435,-0.0261,1.1604,21.1048,1.2207924,0.92800677,12.38913,373,0.0
2135595045386787200,5523.771,4.3592,4.7621,0.1396,1.0425,1234.8243,1.0633551,0.8969386,13.332022,359,0.0829
2139316308129355520,5402.0396,4.4828,5.3201,-0.1041,0.8517,661.0046,0.59501374,0.8913539,7.376387,263,0.1002
2323985535188372480,5385.446,4.4709,5.1324,0.1245,0.9327,233.4585,0.65315694,0.856284,12.724161,325,0.0057
